Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
SECURCRED.NS,1.56,,1.56,1.56,1.56,1.56,0.0,0.0,0.0,True,True,True,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
EIDPARRY.NS,743.4,-143.0,808.65,742.0,742.0,742.0,0.19,0.19,0.19,True,True,True,2.6|1.5|28.3|9.3|17.9|-8.3|-141.6|-270.1|-289.4|-222.5|-210.2|-181.2|-188.9|-123.1|-97.3|-85.7|-101.1|-76.7|-97.9|-143.0
CENTRALBK.NS,30.84,-165.6,34.24,30.52,30.52,30.52,1.05,1.05,1.05,True,True,True,60.2|69.4|-3.6|13.0|110.5|166.6|169.9|24.5|-153.6|-194.4|-165.5|-160.0|-211.2|-135.6|-139.5|-98.6|-240.9|-214.9|-184.9|-165.6
BRITANNIA.NS,5335.5,-62.82,5493.08,5279.5,5279.5,5292.0,1.06,1.06,0.82,True,True,True,55.9|63.7|98.0|116.0|116.3|109.7|-140.2|-240.9|-264.1|-212.9|-160.0|-116.0|-113.6|-76.0|-91.7|-88.4|-80.7|-71.4|-65.7|-62.8
MHRIL.NS,219.18,-87.42,231.09,216.19,216.19,216.19,1.38,1.38,1.38,True,True,True,-73.0|-74.4|-98.0|-109.8|-97.9|-81.8|-92.2|-113.6|-135.0|-140.5|-110.7|-73.4|-99.1|-118.8|-133.7|-123.0|-121.9|-86.1|-91.4|-87.4
RVNL.NS,252.3,-155.34,284.47,248.0,251.3,251.3,1.73,0.4,0.4,True,True,True,40.4|36.1|30.6|38.9|54.6|79.0|66.2|-20.7|-164.7|-179.2|-166.0|-163.6|-203.6|-180.0|-173.5|-128.5|-115.7|-91.2|-139.1|-155.3
BLUEDART.NS,4773.0,-89.81,5177.47,4683.0,4750.0,4750.0,1.92,0.48,0.48,True,True,True,75.7|73.5|102.9|87.6|116.3|139.6|148.0|-62.9|-153.4|-195.0|-206.1|-162.4|-177.8|-150.6|-145.4|-116.9|-105.9|-84.1|-80.6|-89.8
UBL.NS,1339.8,-67.86,1388.03,1312.7,1312.7,1312.7,2.06,2.06,2.06,True,True,True,-94.9|-100.3|-76.9|-102.5|-242.6|-135.6|-133.0|-155.6|-144.6|-165.5|-139.6|-135.9|-148.8|-134.1|-131.2|-121.9|-132.2|-119.9|-84.9|-67.9
SBICARD.NS,625.25,-56.24,633.83,612.1,612.1,616.45,2.15,2.15,1.43,True,True,True,-92.4|-86.2|-91.4|-100.5|-76.8|-75.1|-77.2|-90.8|-113.4|-99.2|-101.8|-104.2|-131.6|-103.7|-118.3|-101.0|-100.6|-53.1|-31.6|-56.2
RENUKA.NS,23.4,-74.75,25.8,22.85,23.01,23.15,2.41,1.69,1.08,True,True,True,192.2|179.9|172.5|163.8|126.7|47.6|-58.5|-226.0|-267.1|-243.0|-214.7|-166.9|-165.5|-134.5|-100.3|-86.1|-85.1|-78.7|-81.9|-74.8
COROMANDEL.NS,1831.7,-62.08,1900.97,1786.0,1786.0,1803.8,2.56,2.56,1.55,True,True,True,-55.8|-61.8|-43.8|-74.7|-56.9|-102.8|-152.3|-226.4|-211.4|-199.3|-159.7|-130.8|-139.4|-80.1|-83.8|-59.0|-89.6|-81.5|-65.3|-62.1
MRF.NS,127040.0,-59.87,128165.75,123455.0,124900.0,125630.0,2.9,1.71,1.12,True,True,True,-72.3|-73.9|-75.6|-101.9|-86.7|-59.4|-58.9|-80.9|-107.3|-118.3|-101.9|-77.4|-67.7|-88.0|-108.5|-107.0|-94.7|-15.3|-38.4|-59.9
RAMCOCEM.NS,886.8,-115.48,921.18,860.1,875.0,879.7,3.1,1.35,0.81,True,True,True,-95.5|-100.7|-114.4|-146.4|-101.2|-46.8|-25.1|-51.0|-49.6|-77.5|-69.5|-107.1|-181.3|-146.2|-180.9|-121.4|-58.6|-40.6|-117.7|-115.5
SYMPHONY.NS,707.1,-100.49,768.41,685.0,705.85,705.85,3.23,0.18,0.18,True,True,True,92.2|87.3|65.5|14.4|17.3|3.8|-45.2|-95.0|-137.2|-126.4|-117.2|-93.4|-191.0|-150.9|-156.0|-137.8|-126.8|-101.8|-102.2|-100.5
SANOFI.NS,3223.4,-59.47,3276.26,3117.68,3151.6,3151.6,3.39,2.28,2.28,True,True,True,0.6|-23.0|-42.8|-64.9|-74.6|-78.5|-157.5|-215.6|-219.6|-171.5|-157.6|-140.8|-145.1|-98.0|-112.2|-102.9|-102.2|-94.1|-72.2|-59.5
GLAXO.NS,2296.2,-109.33,2377.62,2217.6,2278.1,2278.1,3.54,0.79,0.79,True,True,True,-85.8|-93.6|-77.0|-64.1|7.6|93.6|100.4|47.4|47.1|33.5|2.8|17.1|-43.0|-44.5|-92.2|-116.9|-135.5|-124.0|-134.9|-109.3
PRSMJOHNSN.NS,121.58,-67.48,126.76,117.32,117.4,117.4,3.63,3.56,3.56,True,True,True,72.9|67.9|74.1|51.3|49.4|55.3|31.5|-48.4|-102.9|-129.5|-90.8|-105.0|-119.3|-116.7|-162.8|-177.9|-142.7|-142.3|-68.9|-67.5
PFIZER.NS,4622.6,-99.29,4733.09,4460.0,4521.0,4609.8,3.65,2.25,0.28,True,True,True,-63.2|-141.3|-153.5|-144.7|-45.6|-60.5|3.0|56.6|-36.1|-182.8|-148.0|80.8|141.2|60.7|-61.3|-107.9|-77.3|-71.3|-94.8|-99.3
EMAMILTD.NS,400.45,-133.92,431.62,385.5,400.1,400.1,3.88,0.09,0.09,True,True,True,44.9|24.3|54.6|35.4|39.3|34.0|40.6|-11.0|-121.5|-163.3|-197.1|-167.7|-178.5|-94.4|-87.9|-118.9|-166.6|-151.3|-138.2|-133.9
VRLLOG.NS,234.9,-129.46,250.02,225.0,234.2,234.2,4.4,0.3,0.3,True,True,True,18.7|4.0|12.4|-32.9|-32.9|109.2|106.5|63.4|5.7|-113.8|-141.5|-124.2|-166.6|-126.2|-103.9|-74.3|-137.1|-124.4|-120.8|-129.5
HDFCBANK.NS,758.65,-55.18,770.51,726.65,747.0,755.15,4.4,1.56,0.46,True,True,True,-70.6|-80.1|-59.4|-110.4|-15.1|25.1|-53.2|-139.3|-190.3|-170.1|-90.3|-47.8|-76.7|-70.2|-95.6|-77.4|-34.2|80.9|75.5|-55.2
ITC.NS,291.95,-134.25,299.29,279.39,291.05,291.05,4.5,0.31,0.31,True,True,True,187.1|167.7|124.9|88.7|72.6|25.4|-1.7|-22.9|-103.4|-79.0|-18.0|24.2|28.4|50.9|-12.8|-4.8|-114.0|-98.7|-125.7|-134.2
ZENSARTECH.NS,491.3,-59.84,502.09,470.1,470.1,485.0,4.51,4.51,1.3,True,True,True,-143.4|-140.8|-132.1|-118.0|-78.7|-74.3|-56.1|-61.5|-81.2|-106.8|-117.5|-109.7|-129.1|-88.1|-98.1|-82.9|-86.1|-62.3|-68.3|-59.8
JUBLFOOD.NS,427.3,-134.46,458.31,408.8,422.25,425.4,4.53,1.2,0.45,True,True,True,61.4|58.8|50.2|17.1|8.2|35.6|25.2|-46.9|-138.6|-169.3|-82.9|-58.3|-91.3|-21.2|0.9|-169.2|-163.9|-119.1|-135.8|-134.5
RELIANCE.NS,1350.5,-55.31,1385.15,1290.0,1312.6,1345.2,4.69,2.89,0.39,True,True,True,216.6|206.1|207.3|175.8|122.9|95.3|74.1|19.2|-30.2|-52.6|-47.5|-85.5|-99.1|-99.7|-69.9|-54.5|-55.1|-43.6|-50.8|-55.3
TCS.NS,2284.2,-50.38,2321.4,2176.88,2176.88,2260.9,4.93,4.93,1.03,True,True,True,-53.2|-50.8|-84.3|-103.5|-86.5|-105.5|-120.4|-109.4|-170.8|-184.4|-202.2|-149.4|-126.6|-64.5|-60.8|-55.4|-53.0|-30.8|-42.9|-50.4
PIIND.NS,2847.3,-99.88,2999.52,2700.0,2700.0,2700.0,5.46,5.46,5.46,False,False,False,39.9|36.4|41.0|-10.2|28.2|66.9|73.7|36.2|-110.7|-62.6|86.5|108.5|46.3|136.3|-313.7|-351.5|-245.6|-157.0|-126.4|-99.9
PVRINOX.NS,957.8,-130.6,1022.84,907.4,949.9,949.9,5.55,0.83,0.83,False,True,True,167.4|136.3|112.8|99.7|94.7|86.7|75.8|45.0|-3.2|-15.2|-14.1|-33.8|-69.2|-57.4|-97.2|-109.8|-118.5|-102.5|-116.5|-130.6
HCLTECH.NS,1165.2,-33.63,1171.55,1103.4,1103.4,1153.7,5.6,5.6,1.0,False,False,True,-118.7|-101.8|-87.7|-80.5|-74.7|-74.4|-65.7|-57.9|-84.8|-93.3|-115.6|-108.9|-113.3|-36.5|-39.8|-31.9|-37.0|-25.3|-30.8|-33.6
INDIAMART.NS,2020.1,-21.77,2032.25,1911.0,1911.0,1995.0,5.71,5.71,1.26,False,False,True,-8.5|-24.9|-102.1|-136.2|-160.0|-73.5|-50.1|-112.9|-154.8|-195.0|-191.7|-158.4|-161.9|-109.2|-83.1|-37.1|-22.3|-14.5|1.7|-21.8
IRCTC.NS,523.2,-96.86,542.82,492.65,521.6,521.6,6.2,0.31,0.31,False,True,True,3.2|-15.9|40.9|131.2|153.2|133.0|90.5|18.6|-109.0|-127.0|-105.3|-93.9|-128.4|-113.6|-118.7|-101.2|-71.5|-44.0|-24.4|-96.9
UTIAMC.NS,952.1,-37.75,959.11,896.5,928.5,939.5,6.2,2.54,1.34,False,True,True,-69.1|-57.7|-48.1|-53.3|-42.2|-23.5|-20.6|-14.2|-29.6|-40.0|-25.1|-29.2|-80.5|-107.9|-103.4|-95.4|-39.1|-8.2|-17.2|-37.8
